Company,Symbol,Weight,Price
Universal Health Services Inc. Class B,UHS,0.037534,87.56
J.B. Hunt Transport Services Inc.,JBHT,0.036741,90.65
SVB Financial Group,SIVB,0.036426,140.14
Raymond James Financial Inc.,RJF,0.036421,58.57
Campbell Soup Company,CPB,0.036307,46.09
Expedia Group Inc.,EXPE,0.036275,51.77
E*TRADE Financial Corporation,ETFC,0.036248,31.82
United Rentals Inc.,URI,0.036112,94.93
Everest Re Group Ltd.,RE,0.036044,179.8
CenterPoint Energy Inc.,CNP,0.035899,14.11
Western Union Company,WU,0.035839,17.59
Mylan N.V.,MYL,0.035714,14.2
W. R. Berkley Corporation,WRB,0.035229,50.02
Huntington Ingalls Industries Inc.,HII,0.035203,173.55
ViacomCBS Inc. Class B,VIAC,0.035109,12.79
Henry Schein Inc.,HSIC,0.034873,48.5
Molson Coors Beverage Company Class B,TAP,0.034036,37.66
WestRock Company,WRK,0.033751,26.68
Globe Life Inc.,GL,0.033691,66.09
Cabot Oil & Gas Corporation,COG,0.032732,16.46
NRG Energy Inc.,NRG,0.032169,26.8
DaVita Inc.,DVA,0.032155,72.77
United Airlines Holdings Inc.,UAL,0.032053,25.8
Baker Hughes Company Class A,BKR,0.031822,9.87
Iron Mountain Inc.,IRM,0.031723,22.23
Darden Restaurants Inc.,DRI,0.030951,45.8
Perrigo Co. Plc,PRGO,0.030519,45.2
Juniper Networks Inc.,JNPR,0.030481,19.13
ABIOMED Inc.,ABMD,0.030384,144.15
Advance Auto Parts Inc.,AAP,0.030168,88.29
Live Nation Entertainment Inc.,LYV,0.029933,38.97
Regency Centers Corporation,REG,0.029883,35.14
Assurant Inc.,AIZ,0.029828,101.57
F5 Networks Inc.,FFIV,0.029717,104.31
Eastman Chemical Company,EMN,0.029709,45.77
LKQ Corporation,LKQ,0.029479,19
Interpublic Group of Companies Inc.,IPG,0.029115,14.57
Howmet Aerospace Inc.,HWM,0.029011,13.07
MGM Resorts International,MGM,0.028699,11.81
Textron Inc.,TXT,0.028622,24.94
Snap-on Incorporated,SNA,0.028184,103.87
Fortune Brands Home & Security Inc.,FBHS,0.028182,39.33
Halliburton Company,HAL,0.028096,6.57
Albemarle Corporation,ALB,0.028043,55.06
CF Industries Holdings Inc.,CF,0.027693,26.06
Discovery Inc. Class C,DISCK,0.027472,17.6
Wynn Resorts Limited,WYNN,0.027017,54.02
Vornado Realty Trust,VNO,0.026749,33.57
PulteGroup Inc.,PHM,0.026734,20.89
Royal Caribbean Cruises Ltd.,RCL,0.025613,26.11
Whirlpool Corporation,WHR,0.025071,80.2
Lincoln National Corporation,LNC,0.024573,24.01
A. O. Smith Corporation,AOS,0.024396,35.55
Carnival Corporation,CCL,0.024395,8.78
Apartment Investment & Management Co Class A,AIV,0.024367,32.09
Federal Realty Investment Trust,FRT,0.024258,69.65
Newell Brands Inc,NWL,0.023931,12.23
DISH Network Corporation Class A,DISH,0.023812,18.57
Rollins Inc.,ROL,0.023724,35.04
BorgWarner Inc.,BWA,0.023345,22.69
Pentair plc,PNR,0.023328,27.35
'People''s United Financial Inc.',PBCT,0.022932,10.29
American Airlines Group Inc.,AAL,0.02245,10.7
Franklin Resources Inc.,BEN,0.021954,15.88
Quanta Services Inc.,PWR,0.021398,30.81
Zions Bancorporation N.A.,ZION,0.021305,25.34
Mohawk Industries Inc.,MHK,0.021292,67.24
Robert Half International Inc.,RHI,0.020698,38.01
Nielsen Holdings Plc,NLSN,0.02049,11.84
